pozisyon,pozisyon_kisa,city,firma,metin,b_sayisi,g_sayisi,sure,urls,Askerlik Durumu:,Company Industry:,Departman:,Eğitim Seviyesi:,Firma Sektörü:,Job Location:,Job Role:,Job Type :,Languages:,Level of education:,Military Status:,Number of vacancies:,Personel Sayısı:,Position Level:,Pozisyon Seviyesi:,Tecrübe:,University Department:,Yabancı Dil:,Years of Experience:,Çalışma Şekli :,Ülke/Şehir:,Üniversite Bölümü:,cluster
Muhasebe ve Finans Elemanı,Muhasebe,İzmir,DCS Communication Center D.C.S. TURİZM TİCARET LTD,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER:
DCS Communication Center;
1995 yılından bu yana Almanya, İsviçre, Avusturya, Hollanda, İtalya ve Fransa gibi Avrupa ülkelerinde gerçekleştirmiş olduğu çağrı merkezi hizmetleri ile edindiği deneyimi, 2003 yılından bu yana Türkiye'de yaptığı yatırımlarla birleştirerek sektördeki hizmet anlayışının standartlarını yükseltmeyi hedefleyen, ISO 27001 Bilgi Güvenliği Yönetim Sistemi standardına sahip Türkiye'nin ilk çağrı merkezidir.
DCS Communication Center;
25 yıllık deneyimi ile güleryüzlü ekibinin dinamizmini modern teknolojinin tüm olanaklarını ile birleştirerek kompakt çağrı merkezi çözümlerini en üst kalitede sunmaktadır.  

Genel Nitelikler:
Sözlü ve yazılı iletişim becerileri yüksek
Sorumluluk sahibi
Tercihen benzer bir pozisyonda çalışmış, insiyatif alabilen
Ms Ofis programlarına hakim, özellikle Excel'i iyi kullanabilen
Raporlama becerileri gelişmiş,etkin bir şekilde raporlama yapabilecek
Ekip çalişmasına yatkın",1000-1500,7081,36,https://www.kariyer.net/is-ilani/dcs-communication-center-d-c-s-turizm-ticaret-ltd-muhasebe-ve-finans-elemani-2737577,"Yapıldı, Muaf, Tecilli",,Muhasebe,"Lise(Mezun), Ön Lisans(Mezun), Üniversite(Mezun)","Telekomünikasyon, Çağrı Merkezi Ürün ve Hizmetleri, Hizmet , Çağrı Merkezi Hizmetleri",,,,,,,,Belirtilmemiştir,,Eleman,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İzmir,,0
Mali İşler ve Finans Asistanı,Muhasebe,İstanbul(Avr.)(Zeytinburnu),ALBAYRAK HOLDİNG A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Albayrak Grubu şirketleri Mali İşler ve Finans departmanlarında yetiştirilmek üzere ""Genç Albayrak'lılar"" programı başlıyor.
Aşağıda belirtilen niteliklere sahip takım arkadaşları arıyoruz.
Üniversitelerin İktisadi ve İdari Bilimler bölümlerinden lisans mezunu,
Tek düzen hesap planına ve muhasebe uygulamalarına ilgisi olan,
Finans işlemlerinin muhasebeleştirilmesi konusunda eğitim almış,
Arşivleme, dosyalama ve listeleme işlemlerini yapabilen,
MS Office programlarını etkin kullanabilen,
Raporlama, analiz ve istatistik alanlarına ilgi duyan,
Analitik düşünme ve çözüm odaklı çalışma yetkinliğine sahip,
Sistemli ve planlı çalışma prensibi olan,
Yazılı ve sözlü iletişim becerisi gelişmiş,
Takım çalışmasına yatkın,
Dinamik, sorumluluk sahibi ve sabırlı olan,
Erkek adaylar için askerlik ile ilişiği olmayan,
""Mali İşler ve Finans Asistanları"" alınacaktır.",4500-5000,32533,12,https://www.kariyer.net/is-ilani/albayrak-holding-a-s-mali-isler-ve-finans-asistani-2493910,"Yapıldı, Muaf",,Muhasebe,Üniversite(Mezun),Holding / Şirketler Grubu,,,,,,,,Belirtilmemiştir,,Eleman,Tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Zeytinburnu),İktisadi İdari İlimler,8
Müşteri Muhasebesi Uzmanı,Muhasebe,Kocaeli,ADEL,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER  
·         Üniversitelerin Mühendislik, İşletme, İktisat, Ekonometri, İstatistik bölümlerden mezun,
·         En az 3 yıl iş tecrübesi olan,
·         Satış ve İhracat muhasebesi alanında deneyime sahip,
·         Genel muhasebe konusunda bilgiye sahip,
·         İleri düzeyde Excel ve Powerpoint bilgisine sahip, 
·         SAP tecrübesi olan,
·         İngilizce bilen,
·         Öğrenmeye ve gelişime açık, takım çalışmasına yatkın, motivasyonu yüksek,
·         Sunum becerileri ve ikna kabiliyeti yüksek,
·         İstanbul Anadolu yakasında veya Kocaeli Gebze bölgesinde ikamet eden.   


İŞ TANIMI
·         Alacakların takibi ve raporlanması,
·         Müşteri risk raporunun hazırlanması ve raporlanması,
·         Çek, teminat mektubu ve ipotek girişleri ile takibi,
·         İhracat GÇB çalışmasının hazırlanması, 
·         Müşteri prim ve royalty karşılıklarının hesaplanması ve kayıtlarının atılması,
·         Reeskont hesaplaması ve kayıtlarının atılması,
·         Müşteri kur farkı hesaplaması ve kayıtlarının atılması,
·         Müşteri konsolidasyon çalışmalarının hazırlanması,
·         B formunun hazırlanması (Sadece BS),
·     Müşterilere ait yurtiçi, yurtdışı mamul, hizmet ve diğer satışlar için oluşturulan kayıtların kontrolünün yapılması,
·         Müşteri fatura girişlerinin kontrolünün yapılması,
·         Müşteri iade sürecinin takibi ve kontrolünün yapılması,
·         Müşteri mutabakatlarının kontrolü ve raporlanması,
·         İlgili birimler tarafından talep edilen raporların hazırlanması.
   ",100-200,1262,12,https://www.kariyer.net/is-ilani/adel-musteri-muhasebesi-uzmani-2754657,,,Muhasebe,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun)",Diğer,,,,,,,,1,,Uzman,3 - 25 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Kocaeli,,0
Maliyet Muhasebesi Yönetmeni,Muhasebe,Amasya(Merzifon),APAYDIN METAL ÜRÜNLERİ SANAYİ TİCARET A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
ÇİT- GAZ ALTI KAYNAK TELİ - BOYLER  üretimi yapan ve geniş ürün yelpazesine sahip firmamızda,   Muhasebe Operasyon departmanında görevlendirilmek üzere;
·         Üniversitelerin İşletme veya İstatistik bölümlerinden mezun, tercihen İngilizce bilen
·         Metal başta olmak üzere üretim işletmelerinde benzer pozisyonda deneyimli,
·         Ürün maliyetlerini hesaplamak, ürün maliyet analizlerini yapmak ve fiyatlandırma çalışmalarına veri hazırlamak,
·         Planlanan ve gerçekleşen maliyetlerin karşılaştırılarak, farkların analizlerini genel müdüre raporlamak,
·         Operasyonel ve yatırım malzemelerinin kontrolünü ilgili dönemlerde düzenli olarak yapabilecek, işletme giderlerinin takibini yapabilen,
·         Üretim bölümleri ile birlikte stok sayımlarına katılacak,
·         Dönem kapanışlarına destek olacak,
           Fizibilite çalışmaları yapmak ve raporlayacak,
·         Üst yönetimin talep ettiği analiz, sunum ve raporları hazırlayacak.
·         Satın alma girdi fiyatlarının kontrolünü gerçekleştirebilecek,
·         Min. ve Max. Stok uygulamasını yapabilen,
·         İş disiplini yüksek, iş takibi konusunda hassas, sorumluluk bilincine gelişmiş, sonuç odaklı bakış açısına sahip,
·         Microsoft Office programlarına hakim, (tercihen kurumsal kaynak planlama programlarına yatkın)
·         Analitik düşünme yeteneğine sahip
·         Ekip çalışmasına yatkın,
·         Erkek adaylar için Askerlik hizmetini tamamlamış veya muaf
·         25-45 yaş arası
·         Merzifon’da ikamet eden/edebilecek olan,
        ",0-50,461,14,https://www.kariyer.net/is-ilani/apaydin-metal-urunleri-sanayi-ticaret-a-s-maliyet-muhasebesi-yonetmeni-2753380,"Yapıldı, Muaf",,Muhasebe,"Ön Lisans(Mezun), Üniversite(Mezun)",Diğer,,,,,,,,Belirtilmemiştir,,Yönetici adayı,En az 2 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Amasya(Merzifon),"İstatistik,İşletme",3
Bütçe Raporlama Uzmanı/Sorumlusu,Muhasebe,İstanbul(Avr.)(Beşiktaş),Koray Gayrimenkul ve Yatırım A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER
Tercihen üniversitelerin İşletme, İktisat, Ekonomi, Endüstri Mühendisliği, İstatistik vb. bölümlerinden mezun
Bütçe, Finans ve Mali Raporlama alanında 5 yıl deneyim sahibi
Finans, yönetim muhasebesi, bütçe planlama ve raporlama süreçlerinde deneyim sahibi, Logo Muhasebe programı bilen, MS Office programlarını çok iyi düzeyde kullanabilen
Araştırmacı, analiz ve raporlama kabiliyeti olan,  Finansal tablo ve finansal veri analizine hâkim
İletişim becerileri gelişmiş, ekip çalışmasına yatkın
Analitik düşünme becerisine sahip      

İŞ TANIMI
Şirket için etkili bütçe modelleri tasarlamak ve uygulamak,
Her raporlama döneminin sonunda, fiili ve bütçelenmiş finans verileri arasındaki varyasyonları belirlemek,
Kar artırmaya yönelik harcama iyileştirmeleri önermek,
Tüm işlemlerin bütçe dahilinde olduğundan emin olmak için finansal bilgileri analiz etmek,
Yıllık bütçeleri üst düzey yöneticilere sunmak,
Periyodik ve geçici bütçe harcama analizleri yapmak,
Departmanlar tarafından sunulan yıllık bütçe tahminlerini derlemek,
Bütçe onay taleplerini gözden geçirmek,
Bölüm yöneticilerinin bütçe teslim tarihlerini karşıladığından emin olmak,
Departman bütçelerinin zamanında ve doğru bir şekilde tamamlanması için birim yöneticileriyle koordinasyon içerisinde çalışmak,
Kanuni düzenlemelere uyum için şirket bütçesini gözden geçirmek,
Bütçe ile ilgili yasal düzenlemelerdeki değişiklikleri takip etmek,
Matematiksel zeka ve analitik düşünce yönü kuvvetli olmak,
Finansal verileri açık bir şekilde ifade edebilecek sözlü ve yazılı iletişim becerisi sergilemek,
Ekip yönetimini gerçekleştirebilecek liderlik özelliklerine sahip olmak.
Yukarıda genel nitelikleri ile iş tanımı verilen pozisyonumuz için İstanbul/Levent'te merkez ofisimizde görevlendirilmek üzere ''Bütçe Raporlama Uzmanı/Sorumlusu'' çalışma arkadaşı aramaktayız.",50-100,694,14,https://www.kariyer.net/is-ilani/koray-gayrimenkul-ve-yatirim-a-s-butce-raporlama-uzmani-sorumlusu-2752229,"Yapıldı, Muaf",,Muhasebe,Üniversite(Mezun),İnşaat,,,,,,,,1,,Uzman,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beşiktaş),,8
Finans Uzmanı,Muhasebe,Ankara(Keçiören),GAMADOR İNŞAAT A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER VE İŞ TANIMI
İşin Tanımı
Şirketin, tahsilâtlar, ödemeler, krediler ve bankacılık alanındaki tüm günlük ve dönemsel operasyonlarını içeren ÖN MUHASEBE işlemlerinin gerçekleştirilmesi,
Finans kuruluşları ile var olan ilişkilerin, mali işler yöneticisinin belirlediği ilkeler kapsamında yürütülmesi,
Bankalarla gerekli iletişimin sağlanması,
Yapılan işlemlerin mali işler yöneticisine düzenli olarak raporlaması,
Finansal raporlama süreçlerine katkı sağlanması,
Finans operasyonların ve kayıtların doğru/eksiksiz olarak tutulmasının sağlanması,
Şirket bünyesinde yönetici tarafından verilen diğer takip işlemlerinin gerçekleştirilmesi
Yöneticisinin yönlendirmeleri doğrultusunda verilen sorumlulukları yerine getirmek, gerektiğinde ilgili projelere dâhil olmak.

Genel Nitelikler
Üniversitelerin İktisat, İşletme, Ekonomi, Maliye veya ilgili bölümleri ya da bu alanlardan birinde önlisans mezunu,
Finans alanında en az 3 yıllık deneyim sahibi,
Cari hesap, kasa, banka vs. uygulamalarına hakim,
Takım çalışmasına yatkın,
Yoğun çalışma temposuna uyumlu,
Tercihen İnşaat Sektöründe deneyim sahibi,
Finansal enstrümanlar hakkında bilgi ve deneyim sahibi,
Raporlama ve istatistiki veri analizi yeteneklerine sahip,
İletişim becerileri güçlü, analitik bakış açısına sahip,
Bütçeleme, analiz, kontrol tecrübesine sahip,
MS Office uygulamalarına hakim.",100-200,1751,14,https://www.kariyer.net/is-ilani/gamador-insaat-a-s-finans-uzmani-2753048,Yapıldı,,Muhasebe,"Ön Lisans(Mezun), Üniversite(Mezun)",Diğer,,,,,,,,1,,Uzman,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Ankara(Keçiören),,8
Ön Muhasebe ve İdari İşler Elemanı,Muhasebe,İstanbul(Avr.)(Beylikdüzü),AEROFİX ENDÜSTRİ KİMYASALLARI,"GENEL NİTELİKLER VE İŞ TANIMI
Beylikdüzü, Büyükçekmece veya yakın çevresinde ikamet eden,
En az 1 yıl tecrübeli,
Tercihen muhasebe ile ilgili Lisans bölümlerinden mezun,
Öğrenmeye istekli, kişisel gelişim ve kariyer hedefleri olan,
Ms Office Programlarını ve ofis araç ve gereçlerini etkin kullanabilecek,
Raporlama, analiz ve istatistikte bilgi sahibi olan,
Takım çalışmasına yatkın,
Dinamik, sorumluluk sahibi, sabırlı, iletişim becerisi gelişmiş,
Çözüm odaklı, aktif olan ve analitik düşünen,
Ofis içinde olan işleride yapabilecek,
Tercihen Bayan olmak üzere eleman aranmaktadır.",100-200,1240,14,https://www.kariyer.net/is-ilani/aerofix-endustri-kimyasallari-on-muhasebe-ve-idari-isler-elemani-2752374,,,Muhasebe,Lise(Mezun),"Kimya, Yapı Kimyasalları",,,,,,,,Belirtilmemiştir,,,En az 1 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beylikdüzü),,0
Muhasebe Uzmanı,Muhasebe,İstanbul(Asya)(Ataşehir),Eren Perakende,"GENEL NİTELİKLER VE İŞ TANIMI
Perakende sektöründe faaliyet gösteren Eren Perakende'nin İstanbul Ataşehir'de bulunan merkez ofisinde ""Muhasebe Uzmanı"" olarak görevlendirilmek üzere;
GENEL NİTELİKLER
·       Üniversitelerin 4 yıllık eğitim veren İktisat, İşletme, Muhasebe, İstatistik gibi bölümlerinden mezun,
·       Genel muhasebe konusunda  en az 4 yıl deneyimli,
·       MS Excel’i iyi düzeyde kullanabilen,
·       Tek düzen hesap planına hakim,
·       Maliyet Muhasebesi konusunda bilgi sahibi,
·       Periyodik raporların yönetime iletilmesini sağlayabilecek,
·       Analitik düşünce yapısına sahip, takipçi ve çözüm odaklı,
·       Takım çalışmasına yatkın
İŞ TANIMI
·       Yasal mevzuata uygun olarak tüm muhasebe süreçlerinin doğru, düzenli ve eksiksiz yürütülmesinin sağlanması,
·       Bayanname, Cari Hesap Yönetimleri, BA-BS, Mutabakatlar, Bankalar, Ödemeler, Kasa Kontrolleri gibi rutin ve yasal muhasebe süreçlerine hakim,
·       E-Fatura, E-Defter, E-İrsaliye, E-Beyanname gibi yasal muhasebe süreçlerini yönetebilecek ve sistem girişlerini sağlayacak,
·       Yasal beyannamelerin (Kurumlar, Geçici Vergi, KDV, muhtasar ve diğer) hazırlanması ve gönderilmesi,
·       Tüm mali süreçler ve dönem sonu raporlama süreçlerinin yürütülmesi,
·       Mizan kontrolü, bilanço, gelir tablosu ve diğer mali tabloların hazırlanması,
·       Ay ve Yılsonu Kapanış işlemlerinin yapılması.",200-300,2173,17,https://www.kariyer.net/is-ilani/eren-perakende-muhasebe-uzmani-2749469,,,Muhasebe,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Perakende,,,,,,,,Belirtilmemiştir,,Uzman,En az 4 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Asya)(Ataşehir),,8
Bütçe ve Mali Kontrol Uzmanı,Muhasebe,Bursa(Gemlik),BORÇELİK ÇELİK SAN.TİC. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
ISO 500 araştırmasına göre “Türkiye’nin 27. Büyük Sanayi Kuruluşu” olan, Borusan Holding ve ArcelorMittal ortaklığıyla yönetilen, Türkiye’nin en büyük ve en yüksek kaliteli galvanizli çelik üreticisi Borçelik şirketimizin Bursa/Gemlik lokasyonu için ""Bütçe ve Mali Kontrol Uzmanı"" arıyoruz.  
Üniversitelerin İstatistik, Matematik, Ekonometri, İşletme gibi bölümlerinden mezun,
Büyük ölçekli üretim şirketlerinin Bütçe ve Raporlama alanında en az 3 yıl tecrübeli,
Yatırım fizibilite çalışmalarına hakim,
İyi derecede İngilizce bilgisine sahip,
SAP CO ve BPC modüllerine hakim,
MS Office programlarını iyi derecede kullanabilen ve özellikle ileri düzeyde Excel bilgisine sahip,
Tercihen Pyhton, VBA, R vb. programlama dillerinden herhangi birinde temel düzeyde bilgisi olan,
Problem çözme, analitik düşünme, sorgulama ve araştırma yeteneğine sahip,
Raporlama ve veri görselleştirme yetkinliğine sahip,
Finansal verileri açık ve anlaşılır biçimde ifade edebilecek sözlü ve yazılı iletişim becerisine sahip,
Bursa veya Gemlik'te ikamet edebilecek takım arkadaşı aramaktayız.

İŞ TANIMI
Aylık operasyonel ve finansal raporları hazırlamak,
Bütçe, projeksiyon ve strateji çalışmalarına katılmak, ilgili raporların hazırlanmasını sağlamak,
Bütçe sisteminin bakımı ve geliştirilmesine yönelik çalışmaları yapmak, süreç iyileştirmek ve geliştirmek,
Bütçe-Projeksiyon değerleri ile fiili sonuçlara ilişkin varyans analizlerini hazırlamak ve hedefler ile uyumu kontrol etmek,
Yatırım fizibilite çalışmalarını hazırlamak,
Aylık fiili verilerin ve bütçe-projeksiyon dönemlerinde de hedef verilerinin Borusan Holding raporlama sistem girişlerini yapmak.

Yassı çelik sektöründe kadın iş gücü hareketini başlatan, çeliğin geleceğine yeni açılan ARGE merkeziyle şekil veren, çeşitli spor branşlarında ödüller kazanan, birçok hobi kulübüne sahip olan, “Bir Bobin Bir Fidan"" projesiyle Bursa’dan Mardin’e birçok ilimizde fıstık çamı diken ve doğayı korudukça onun da bizi koruduğuna inanan Borçelik ailesine sizi de bekliyoruz.",750-1000,11782,17,https://www.kariyer.net/is-ilani/borcelik-celik-san-tic-a-s-butce-ve-mali-kontrol-uzmani-2657291,,,Muhasebe,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Metal Sanayi,,,,,,,,1,,Uzman,En az 3 yıl tecrübeli adaylar,,"İngilizce( Okuma : İleri, Yazma : İleri, Konuşma : İleri)",,Sürekli / Tam zamanlı,Bursa(Gemlik),,8
Maliyet Muhasebesi Yetkilisi,Muhasebe,"İstanbul(Avr.), İstanbul(Asya)",Şişecam,"GENEL NİTELİKLER VE İŞ TANIMI
Türkiye’nin en köklü kuruluşları arasında yer alan Şişecam, düzcam, cam ev eşyası, cam ambalaj ve cam elyafı gibi camın tüm temel alanları ile soda ve krom bileşiklerini kapsayan iş kollarında küresel bir oyuncudur. “Düzcam”, “Cam Ev Eşyası”, “Cam Ambalaj” ve “Kimyasallar” olmak üzere dört ana iş grubunda faaliyet gösteren Şişecam, Türkiye’nin yanı sıra Almanya, İtalya, Bulgaristan, Romanya, Slovakya, Macaristan, Bosna Hersek, Rusya Federasyonu, Gürcistan, Mısır, Hindistan ve ABD’de faaliyet göstermektedir.
Bugün dünyanın cam ev eşyasında üçüncü, cam ambalaj ve düzcamda beşinci büyük üreticisi konumundaki Şişecam, dünyanın en büyük 10 soda üreticisinden biri olmasının yanı sıra krom kimyasallarında dünya lideridir. Şişecam, 85 yıllık deneyimi, 14 ülkede 22 bine yakın çalışanı ve 150 ülkeyi aşan satışlarıyla uluslararası ölçekte ana faaliyet alanlarında dünyanın en büyük üç üreticisinden biri olma hedefiyle yoluna devam etmektedir.
Şişecam’ın İstanbul/Tuzla lokasyonunda yer alan Ortak Hizmetler Merkezi bünyesindeki Maliyet Muhasebesi Müdürlüğü’nde görevlendirilmek üzere;
GENEL NİTELİKLER
Üniversitelerin ilgili lisans bölümlerinden mezun (tercihen İşletme, İktisat, Uluslararası Finans, Ekonomi , Ekonometri vb. bölümler) 
Tercihen 1 yıl Maliyet Muhasebesi alanında deneyimi olması
MS Office uygulamalarına hakim, tercihen SAP kullanabilen
Orta seviyede İngilizce bilen
Problem çözme, planlama ve iş takip yeteneğine sahip
Yenilikçi, yaratıcı ve değişime açık, ekip çalışmasına yatkın teknolojik düşünce yapısında olan  
İstanbul'da ikamet eden/edebilecek olan
 Maliyet Muhasebesi Yetkilisi aranmaktadır
 SORUMLULUKLAR
İlgili mali kontrol alanlarına ilişkin ana verileri oluşturmak ve kaydının tutulması 
Doğrudan manuel maliyet merkezi transferlerinin kayıt alınması
Dönem sonu kapanışı sırasında ilgili Ortak Hizmet Merkezi bölümlerine tahakkuklar ve inşaat halindeki varlıklara ilişkin bilgi sunulması
Kapanış takvimi çerçevesinde, Maliyet Muhasebesi dönem sonu kapanış işlerine destek verilmesi
Kapanış takvimi çerçevesinde, Ürün Maliyeti Muhasebesi dönem sonu  kapanış işlerine destek verilmesi
Kapanış takvimi çerçevesinde, Karlılık Analizi dönem sonu kapanış işlerine   destek verilmesi
Transfer Fiyatlaması da dahil olmak üzere, tanımlanmış süreç alanları için kayıt döngülerini, istatistiksel ve dağıtım anahtarlarını uygulanması
Mali Kontrol Mükemmeliyet Merkezine destek verilmesi
Özellikle karmaşık konularda, Ortak Hizmet Merkezi Raporlama Hizmetleri bölümüne destek verilmesi
Duran varlık işlemlerinde üstlerine destek verilmesi",500-750,3241,20,https://www.kariyer.net/is-ilani/sisecam-maliyet-muhasebesi-yetkilisi-2747907,Yapıldı,,Muhasebe,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Cam Sanayi,,,,,,,,Belirtilmemiştir,,Uzman Yardımcısı,1 - 4 yıl tecrübeli adaylar,,"İngilizce( Okuma : Orta, Yazma : Orta, Konuşma : Orta)",,Sürekli / Tam zamanlı,"İstanbul(Avr.), İstanbul(Asya)",,8
Muhasebe Müdürü,Muhasebe,İstanbul(Avr.)(Eyüp),MET-KON GİYİM SAN.VE TİC.LTD.ŞTİ.,"GENEL NİTELİKLER VE İŞ TANIMI
METKON GİYİM - Muhasebe Müdürü
İş Açıklaması
Üretim ve ihracatı yapan firmamızın Muhasebe Departmanı'nda sorumlu olacak ""Muhasebe Müdürü"" arayışımız bulunmaktadır.
Üniversitelerin ilgili bölümlerinden mezun,
Tekstil sektöründe ihracatçı firmada en az 7 yıl deneyimi olan,
MS Office programına hâkim, Sentez muhasebe programını iyi derecede kullanabilen,
Maliyet muhasebesi konusunda tecrübeli, Order bazında maliyetleme kontrol ve takibini yapacak,
Bordrolama ve özlük işlemlerine hakim ve Personel Takip Programlarını kontrol edecek,
Finansal tablo ve raporlama konularında tecrübeli,
Genel muhasebe işlemlerini, vergi kanunları ve genel kabul görmüş muhasebe usul ve esaslarına uygun şekilde kayıt oluşturma bilgi ve deneyim düzeyine sahip,
E-fatura - E-defter - E-İrsaliye konusunda tecrübeli,
İthalat ve ihracat muhasebe kayıtlarında deneyimli,
KDV indirim listeleri, KDV iadesi ve mahsuplaşma konusunda bilgi sahibi,
Resmi makamlara sunulması gereken tüm istatistiki veriler ve Aylık beyannameler konusunda bilgiye sahip,
Yönetim, iletişim ve sunum becerileri güçlü, Ekip yönetebilecek,
Dikkatli ve detaylara önem veren, İletişimi kuvvetli,
Tercihen İstanbul Avrupa yakasında ikamet eden,
Bay adaylar için askerlik hizmetini tamamlamış.
İstenen Yetenek ve Uzmanlıklar
Satış ve alış faturalarının ilgili tüm kayıt süreçlerinin yapılması, yaptırılması ve kontrol edilmesi.
Günlük işlenen muhasebe evraklarının mahsup fişleri ile kontrol edilmesi,
Aylık muhtasar, KDV, BA-BS, SGK, geçici ve kurumlar bildirge ve beyannamelerinin süresi içerisinde eksiksiz hazırlanması.
Kasa, banka ve cari hesapların işlenmesi, işletilmesi haftalık kontrol ve aylık mutabakatlarının yapılması.
Mizan, bilanço, gelir tablosu ve diğer mali tabloların vergi usul kanunu doğrultusunda hazırlanması.
Alış ve satışların düzenli cari hesap ve BA/BS mutabakatlarının sağlanması.
Ödemelerin, banka hesaplarının ve çek senetlerin işlenmesi, stok takibi
Personel özlük dosyası, izin yönetimi ve ücret hesaplamalarının (bordro) düzenlenmesi, kontrolü ve muhasebeleştirilmesi ve arşivlenmesi
Dönem sonu kapanış, amortisman ve değerleme işlemlerinin gerçekleştirilmesi ve gerekli muhasebe kayıtlarının yapılması
E-defter ve berat girişlerinin süresi içerisinde eksiksiz olarak yapılması
Kdv iadesi süreçlerinin tamamlanması.
Günlük, Haftalık ve Aylık Faaliyet raporlarının hazırlanması.
Nakit Akış ve ödeme tablolarının hazırlanması takibi ve sunumu.",100-200,1569,21,https://www.kariyer.net/is-ilani/met-kon-giyim-san-ve-tic-ltd-sti-muhasebe-muduru-2746777,Yapıldı,,Muhasebe,Üniversite(Mezun),Diğer,,,,,,,,Belirtilmemiştir,,Orta düzey yönetici,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Eyüp),,8
Mali İşler Uzmanı,Muhasebe,İstanbul(Avr.)(Bayrampaşa),ALBAYRAK HOLDİNG A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Albayrak Grubu bünyesinde bulunan ve Nakliye alanında faaliyet gösteren Nakil Lojistik A.Ş. şirketimizin Mali İşler departmanında görevlendirilmek üzere,
Günlük muhasebe evraklarının tekdüzen hesap planı kanunlarına uygun olarak sisteme girilmesi,
Personel masrafları ve gider faturalarının muhasebeleştirilmesi,
Günlük banka hesaplarının takibi, mutabakatlarının yapılması ve muhasebeleştirilmesi,
Günlük kasa hareketlerinin kontrolü,
Müşteri ve tedarikçiler ile gerçekleştirilen cari hesap mutabakatlarının kontrol ve takibinin yapılması, BA-BS formlarının düzenlenmesi,
İç ve dış denetim çalışmalarının yürütülmesi ve bölümler arası bilgi akışının sağlanması,
Mizan kontrol, masraf merkezi kontrolü ve mali analizlerinin yapılması,
Ay sonu kapanış işlemlerinde gerekli kontrol ve takibin yapılması, aylık kapanış dosyalarının hazırlanması, 
Yakıt tüketimi, Araç Kiralama, Personel Maliyetlerinin takibinin yapılması,
Aylık Kar-Zarar Raporlarının hazırlanması,
Tüm vergi beyannamelerinin hazırlanması (KDV, Muhtasar, Geçici Vergi, Kurumlar Vergisi),
Alacakların tahsilatının yapılması,
Banka EFT-Havale ödemelerin gerçekleştirilmesi,
aşağıda belirtilen niteliklere sahip takım arkadaşları arıyoruz. 
Üniversitelerin İşletme, İktisat veya Maliye bölümlerinin birinden lisans mezunu,
Tercihen ilgili bölümlerde Yüksek Lisansını tamamlamış,
Tercihen S.M.M.M Belgesine sahip,
Alanında en az 7 yıl, benzer pozisyonda en az 3 yıl tecrübeli,
Kurumsal ERP yazılımlarından herhangi birini kullanan, tercihen Microsoft Axapta ERP programını aktif olarak kullanabilen,
Vergi mevzuatı, maliyet muhasebesi, tek düzen hesap planı ve genel muhasebe uygulamalarına hakim,
Mevzuat değişikliklerini yakından takip eden,
Tercihen İyi düzeyde İngilizce bilen,
Ms Office programlarını etkin olarak kullanabilen,
Raporlama, analiz ve istatistikte bilgi sahibi olan,
Alanındaki yenilikleri takip eden ve öğrenmeye açık,
Analitik düşünme becerisi gelişmiş olan,
Takım çalışmasına yatkın,
Dinamik, sorumluluk sahibi, sabırlı, iletişim becerisi gelişmiş,
Çözüm odaklı ve proaktif olan,
Erkek adaylar için askerlikle ilişiği olmayan,
'Mali İşler Uzmanı’  alınacaktır.",500-750,5138,78,https://www.kariyer.net/is-ilani/albayrak-holding-a-s-mali-isler-uzmani-2707427,,,Muhasebe,Üniversite(Mezun),Nakliye,,,,,,,,Belirtilmemiştir,,Yönetici adayı,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Bayrampaşa),,8
