Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
3 - 5 yıl tecrübeli adaylar,Yapıldı,Kalite,Kalite Kontrol Mühendisi,Manisa(Yunus Emre),ISM MAKİNE ELEKTRİK SAN.TİC.A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER 
Şirketimiz’de Kalite Proses Mühendisi olarak görevlendirilmek üzere;
·        Üniversitelerin Mühendislik Fakültelerinden mezun (Tercihen Metalurji-Malzeme, Makine, Endüstri )
·        Tercihen sektör tecrübesi olan, kalite departmanında en az 3 yıl deneyimli,
·        TS ISO 9001, ISO14001 ve TS ISO 16949  konusunda bilgi sahibi,
·        Tercihen APQP/PPAP, SPC, MSA, FMEA, 8D, 5S ,6 Sigma, Kaizen konularında bilgi ve deneyim sahibi,
·        Tercihen Netsis kullanım temel bilgisi olan,
·        İyi derecede İngilizce bilen,
·        Ofis programlarını çok iyi ve etkin kullanan, raporlama ve sunum teknikleri konusunda yetenekli,
·        Takım çalışmasına yatkın, takipçi, sonuç odaklı ve analitik düşünen, sistematik ve tekrarlı görevleri yerine getirebilen
·        Yurtiçi ve yurtdışı seyahat engeli olmayan ve aktif araç kullanan,
·        Erkek adaylar için askerlik hizmetini tamamlamış.
İŞ TANIMI 
Kalite prosedürleri, standart ve spesifikasyonlar oluşturmak,
Şirketi ilgilendiren ürün sertifikasyonu,Çevre ve TMGD hakında ulusal ve uluslararası standart ve yönetmeliklerin takibi yapmak.
Çevre ve Tehlikeli Madde güvenliği konularında danışmanlar ile bereber uyumluluğu sürekli kılmak,
Satış temsilcileri ile müşteri gereksinimlerini belirlemek,
Tedarikçi hammaddelerinin kalite gereksinimlerini karşıladığından emin olmak için  satın alma ile iş birliği yapmak,tedarikçi denetimlerini yapmak,
Çalışma sırasında sağlık ve güvenlik standartlarını belirlemek ve uygulamak,
Atıkları azaltma ve kaynakları en üst düzeye çıkarma yollarını belirlemek için araştırmalar yapmak,
Üretim süreçlerinin hem ulusal hem de uluslararası üretim standartlarına uygun olmasını sağlamak,
Mevcut kalite süreçlerini iyileştirmek için yönetime tavsiyelerde bulunmak,
Kalite performansıyla ilgili bilgi edinmek için istatistiksel verileri toplamak ve analiz etmek,
Kalite prosedürleri doğrultusunda görevlerini yerine getirmelerini sağlamak için şirket personelini denetlemek,
Kalite politikalarından sapmaları belirlemek, ürün geliştirme süreçlerini izlemek,
Hammadde ve mamul ürünlerin kalitesini doğrulamak için testler yapmak,
İyileştirme veya yükseltme gereksinimini tanımlamak için mevcut süreç ve ürün özelliklerini gözden geçirmek,
Uyumlu ürünleri onaylayıp, kusurlu olanları bildirmek,
Kalite testi, prosedür ve standartların kayıtlarını muhafaza etmek,
Kalite yöneticisine rutin olarak raporlar hazırlamak ve sunmak,
Otel ekipmanları üretimi gerçekleştiren ISO 9001, ISO 14001, ISO 18001 kalite belgelerine sahip, geniş ürün yelpazesi ile sektöründe dünya liderliğine ulaşma hedefi olan şirketimizde Kalite  Kontrol Biriminde çalışacak, aşağıdaki görev tanımı ve yetkinliklere sahip Kalite Mühendisi arayışımız bulunmaktadır.",300-500,2360,30
En az 1 yıl tecrübeli adaylar,NaN,Bilgi Teknolojileri / IT,Kullanıcı Deneyimi Tasarımcısı,İstanbul(Avr.),MNG Kargo Yurtiçi ve Yurtdışı Taşımacılık A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
İş Tanımı
Kargo sektörü ürün ve hizmetlerinin kullanıcı deneyimi tasarımları için gereken kullanıcı araştırmalarının, kullanılabilirlik testlerinin yapılması, taslaklar (wireframe) hazırlanması,
Yeni projelerde kullanılabilirlik yaklaşımıyla UX süreçlerinin yürütülmesi ve konsept tasarımların yapılması,
Mevcut kargo sektörü ürünlerinin kalitesini artırmak için UX metodolojilerine uygun olarak geliştirmeler yapılması,
Gerçek ortama alınan ürün ve hizmetlerinin UX yönünden değerlendirilmesi.
Genel Nitelikler
Üniversitelerin 4 yıllık fakültelerinden tercihen Grafik Tasarım, Endüstriyel Tasarım, Matematik, İstatistik veya Mühendislik Fakültelerinden mezun,
Grafik tasarım, endüstriyel tasarım ve bunun gibi alanlarda bilgisi olup, en az 1 yıl “Kullanıcı Deneyimi” alanında tecrübeli,
Teknolojik gelişmeleri, trendleri takip eden ve yazılım süreçlerine ilgi duyan,
Tercihen kullanıcı deneyimi (user experience) ve kullanılabilirlik (usability) konusunda bilgi ve deneyim sahibi,
Tercihen UX sertifika programlarına katılmış,
Balsamiq, Adobe PS, Mockflow gibi uygulamaları kullanma tecrübesine sahip,
UI tasarımcı ile ortak çalışmalarda bulunmuş,
Scrum metodoloji ile projeleri gerçekleştirebilecek,
Analitik düşünce yapısına sahip olan,
Ekip çalışmasına yatkın,
Gelişim ve öğrenmeye istekli,
Güçlü iletişim becerilerine sahip olan,
İyi düzeyde sözlü İngilizce bilgisine sahip, 
takım arkadaşları arıyoruz.",100-200,2007,39
2 - 4 yıl tecrübeli adaylar,Yapıldı,Planlama,Planlama Uzmanı,"İstanbul(Avr.), İstanbul(Asya)",FLO MAĞAZACILIK ve PAZARLAMA A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin tercihen Mühendislik, İşletme, İstatistik bölümlerinden mezun,
Perakende planlama konusunda en az 2 yıl deneyimli,
MS Office programlarını (özellikle MS Excel ve istatistikle ilgili programları) etkin kullanabilen,
Analitik düşünme, problem çözme ve karar alma yetenekleri gelişmiş,
Hızlı büyüme ve değişimi yönetebilen, planlı ve detaylı çalışmaya yatkın,
Erkek adaylar için askerlik görevini tamamlamış.
İŞ TANIMI

FLO Mağazacılık ve Pazarlama A.Ş., Genel Merkezi bünyesinde, Planlama Grubu'na bağlı olarak aşağıda belirtilen süreçlerden sorumlu olacak ""Planlama Uzmanı "" arayışımız bulunmaktadır.
Gerçekleşen veriler ile gelecek dönem beklentilerini harmanlayarak stratejik departman hedeflerini belirlemek,
Sorumlu olacağı ürün grubunun sezonluk ve yıllık talep tahminlerini yaparak satış ve alım bütçelerini oluşturmak,
Satış analizleri ve satın alma planları ışığında ürünlerin sipariş miktarlarını analitik yöntemlerle belirlemek,
Sipariş ile satın alma karşılaştırmalarını ve analizlerini yapmak,
Bütçe – gerçekleşen karşılaştırmalarını yaparak departman hedeflerini tutturmak için sezon içi aksiyonları almak.",1000-1500,4646,40
1 - 3 yıl tecrübeli adaylar,"Yapıldı, Tecilli",Üretim / İmalat,Üretim Mühendisi,"Kocaeli(Gebze), İstanbul(Asya)(Tuzla)",Ece Boya Kimya San ve Tic A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
Üretim isteklerine göre Üretim Sorumlusu ile günlük üretim programını belirler. 
Planlanan üretim programlarını Üretim Usta’larına aktarır ve takibini yapar. 
Sorumluluğundaki makine ve teçhizatın amaçlara ve talimatlara uygun kullanılmasını sağlayacak tedbirler alır ve uygulanmasını kontrol eder.
Bakım Bölümü ile işbirliği içinde çalışarak; sorumluluğundaki bina, makine teçhizat ve üretim ekipmanlarının niteliklerine uygun şekilde korunmasını sağlar.
Düzenli bakım, onarım ve temizliğini yaptırır.
Üretim seyrini takip ve kontrol eder, programdan sapmaları önleyecek tedbirleri alır, gerektiğinde Üretim Sorumlusunu bilgilendirerek değişiklik yapar.
Faaliyetleri ile ilgili üst kademe yönetiminin ve firma bilgi alan sisteminin gerektirdiği kayıtları tutar, gerekli raporları hazırlar, ilgili yerlere zamanında iletir. 
Üretim işlemleri tamamlanan ürünlerin Lojistik ve Depo Bölümüne teslim edilmesini sağlar.
Çalışma metodlarını inceler, basitleştirici ve geliştirici tedbirleri alır. 
Ünite personelinin işbaşı eğitimlerini yapar ve yaptırır, gerekli kayıtların tutulmasını sağlar.
Yıl sonlarında tüm personelinin performans değerlendirmesini yapar. 
Yıl başlarında tüm personelinin eğitim ihtiyaçlarını tespit eder. 
ISO 9001 Kalite Yönetim Sistemi ile ilgili çalışmaları yapar, dokümanları hazırlar, sorumluluğundaki çalışanlara Kalite Yönetim Temsilcisi ile işbirliği yaparak gerekli eğitimleri verir, uygulatılmasını sağlar, uygunluğunu kontrol eder. 
İstatistiki çalışmalar için gerekli verilerin toplanmasını sağlar.",1500-2000,6882,47
Tecrübeli ya da tecrübesiz adaylar,NaN,Bilgi Teknolojileri / IT,Veri Analisti,İstanbul(Avr.)(Başakşehir),TRİKOTEK TEKSTİL SANVE TİC A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
 Yurt içi ve yurt dışında müşterilerine hizmet veren, ihracat sektöründe aktif rol alan, her geçen gün büyümekte olanTrikotek Tekstil firmamıza, hedeflerimize ulaşma yolunda emek ve katkılarıyla bize eşlik edecek ve ekibimize güç katacak tecrübeli ""VERİ ANALİSTİ"" arıyoruz.
 Genel Nitelikler
Tercihen üniversitelerin istatistik, ekonometri, ekonomi ve endüstri mühendisliği bölümlerinden mezun,
Veri Analizi alnında minimum 2 yıl tecrübeli,
Makine öğrenmesi yöntemleri hakkında bilgi sahibi,
SQL üzerinde sorgu yazabilen ve R ya daPython dillerinden en az birine hakim,
İş zekası ve veri analitiği alanlarında daha önce çalışmış olan ya da çalışmak isteyen (Tableau bilgisi artı olarak değerlendirilecektir.)
MS Office programlarına hakim,
Analitik düşünebilen,
Dinamik, Pratik,
Takip yönü kuvvetli,
Detaylara önem veren,
Çözüm odaklı problem çözen,
Kendini geliştirebilen, mesleği ile ilgili yenilikleri takip eden,
Erkek adaylar için askerlik hizmetini tamamlamış,
Avrupa yakasında ikamet eden. 
İş Tanımı
Satış, üretim, finans, performans vb. verileri analiz etmek ve modellemek,
Yapılan analiz ve modellemeler üzerinden sürekli iyileştirme için projeler ve öneriler sunmak,
Periyodik raporlamalar ve sunumlar hazırlamak,
Yeni metrik ve KPI’lar ile ilgili araştırmalar yapmak.
Şirket içerisinden gelen talepler doğrultusunda, iş zekası araçlarını kullanarak yeni dashboard tasarım süreçlerine dahil olmak.",200-300,2093,27
En az 3 yıl tecrübeli adaylar,Yapıldı,İç Denetim,İç Denetim ve Veri Sorumlusu,İzmir(Bornova),VOSMER OTOMOTİV,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimizde görevlendirilmek üzere İÇ DENETİM VE VERİ SORUMLUSU  aranmaktadır.

Genel Nitelikler
*Üniversitelerin ilgili bölümlerinden mezun (İşletme, İktisat, İstatistik vb.),
*İç denetim, iç kontrol, risk yönetimi alanlarında tecrübeli,
*Analitik düşünme, problem çözme ve sunum becerileri yüksek,
*Ayrıntılara ve detaylara önem veren,
*Mali, finansal verileri kullanabilen ve yorumlayabilen,
*Denetim raporlarını hazırlama alanında tecrübeli,
*İyi derecede MS Office uygulamalarını bilen,
*Şirketin teknik altyapısını, kullandığı teknolojileri anlayabilecek seviyede IT bilgisine sahip,
*Erkek adaylar için, askerlik görevini tamamlamış.
 İş Tanımı
*İç Denetim planı çerçevesinde sorumlu olduğu süreçlere ilişkin iç denetimleri gerçekleştirmek,
*Gerçekleştirdiği denetim süreçlerine ilişkin prosedürleri ve İç Denetim Yönetmeliği doğrultusunda raporlarını ve görüşlerini hazırlamak, yönetmeliğin geliştirilmesinde aktif rol almak,
*Denetlenecek süreçlere ilişkin kontrolleri veya diğer geliştirilecek alanları belirlemek ve ilgili analizleri gerçekleştirmek,
*Denetim faaliyetlerinde tespit edilen uygunsuzluklara ilişkin aksiyonları takip etmek,
*KVKK süreçlerinde yer alabilecek; belirli periyotlarda bölümlerin süreç denetimini yapmak.",1500-2000,10366,28
Tecrübeli ya da tecrübesiz adaylar,NaN,İç Denetim,Raporlama Uzman Yardımcısı,İstanbul(Avr.)(Küçükçekmece),DİGİ-COM ELEKTRONİK PAZARLAMA A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
MS Office uygulamalarına (özellikle Excel, Outlook) hakim
SQL bilgisi olan, ERP sistemleri ile çalışmış tercihen LOGO kullanmış.
Raporlama ve iş takibi konusunda tecrübeli,
Analitik düşünebilen, matematik yeteneği gelişmiş.
Planlama ve organizasyon becerileri gelişmiş,
Etkin iletişim yeteneğine sahip, ekip çalışmasına uyumlu,
Sonuç odaklı çalışma konusunda yetenekli ve iş takibi ve sonuçlandırılmasında yetkin,
Yoğun ve esnek çalışma saatlerine uyum sağlayabilecek
Üniversitelerin Mühendislik fakültelerinden tercihen istatistik ,Matematik  , Endüstri  mezunu

İŞ TANIMI 
Departmanlarımızın ihtiyaç duyacağı raporları hazırlamak.
Raporları sürekli güncel tutmak, geliştirmeler yapmak.
Analizler çıkararak, işe değer katacak yorumları ortaya çıkarmak.
İş süreçlerinin analizlerini yapmak.
Gelişim alanlarını tespit etmek.",300-500,1766,40
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",Bilgi Teknolojileri / IT,İş Zekası Uzmanı,İstanbul(Avr.)(Sarıyer),Firma Bilgisi Gizli,"GENEL NİTELİKLER VE İŞ TANIMI
Ekibimizde değerlendirilmek üzere;
Üniversitelerin Mühendislik veya İstatistik bölümlerinden mezun,
ETL geliştirme konusunda deneyimli.
En az bir ETL toolu (ODI, Informatica vb.) kullanmış,
SQL yazabilen, Veri entegrasyonu, dönüştürülmesi vb. süreçleri bilen,
Tercihen raporlama ön yüzlerinde deneyim sahibi (Qlik, BO, Tableau vb.),
İletişimi güçlü, iş birimi ile çalışacak
 İŞ TANIMI
 ETL tool (ODI, Informatica vb.) veya SQL, PL/SQL ile ETL joblarının oluşturulması,
Kaynak sistem analizlerinin yapılarak ihtiyaç duyulan veri için mapping sorgularının oluşturulması.
Veri ambarı sistemleri için veri yapılarını tasarlanması,
Veri dönüşümleri ve aktarımları için gerekli geliştirmelerin yapılması,
Raporlama için gerekli iş zekası modellerinin tasarlanması, 
 ",50-100,457,5
Tecrübeli ya da tecrübesiz adaylar,NaN,Pazarlama,CRM Stajyeri,İstanbul(Avr.)(Şişli),Atasun Optik Perakende Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Optik Perakende/Mağazacılık alanında faaliyet gösteren, uluslararası firmamızın Pazarlama Departmanında görev alacak; aşağıdaki niteliklere sahip CRM Stajyeri aramaktayız: 
Üniversitelerin İstatistik, Matematik ve Endüstri Mühendisliği gibi sayısal ağırlıklı bölümlerinde 3. veya 4. sınıf öğrencisi,
Yaz döneminde 5 tam gün, okul döneminde de 3 tam gün devam edebilecek,
MS Office programlarını etkin kullanabilen,
İyi düzeyde İngilizce bilen,
CRM alanında istekli, gelişime ve öğrenmeye açık,
Analitik ve trendleri takip eden

İŞ TANIMI
Müşteri bazlı analizlerde yardımcı olmak,
Kampanya takiplerini yapmak,
Marka işbirliklerinde destek sağlamak,
Double opt-in sürecini takip ederek izin alma oranları düşen mağazalarla ilgili aksiyon almak,
SMS gönderimlerinin ön hazırlığını yapmak,
Sadakat programlarının takip edilerek yeni uygulama ve trendlerin bildirilmesi.",300-500,2887,46
2 - 5 yıl tecrübeli adaylar,NaN,Hazine ve Sabit Getirili Menkul Değerler,Kantitatif Analist-Algo Trader,İstanbul(Avr.),QNB Finans Yatırım Menkul Değerler A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Aranan  Nitelikler :
Üniversitelerin   Matematik,İşletme Mühendisliği,  Ekonometri, İstatistik, Bilgisayar  Mühendisliği  bölümlerinden mezun tercihen Finans /Yazılım/Matematik Yüksek Lisansı yapmış
Tercihen,   Finans yazılım / iş analizi   konularında bilgi ve deneyim sahibi
SPK Düzey 3 ve Türev Araçlar Lisansına sahip
Alanında en az 2 yıl deneyimli
İleri derecede yazılı ve sözlü İngilizce bilgisine sahip
Özellikle türev ürünler konusunda  uzmanlaşmış ve deneyim sahibi
Yeni ürün ve sistemlerin,  iş süreçlerinin geliştirilmesinde  iş analizi yapıp, IT ekibi ile koordineli çalışabilecek
İş Tanımı:
Kurum portföyü için algoritmik trading stratejilerinin oluşturulması, arbitraj/yapılandırılmış / türev ürün  fiyatlandırmasında,
Aktif Pasif Yönetimi / Prop Trading /  Borsa Yatırım Fonları /Piyasa Yapıcılık İşlemlerinde; fiyatlama/veri analizi/ risk yönetimi /emir iletimi için kullanılan sistem yönetiminde,
Hazine  birimi ihtiyaçlarına göre iş süreçleri, analizi ve ürünün uygulamaya alınması / satışa sunulmasına kadar olan tüm süreçlerde,
Kantitatif çalışma /veri analizi/modelleme /Algo kullanılarak yapılmasında, geliştirilmesinde rol alabilecek ""Kantitatif Analist - Algo Trader"" aramaktayız.",100-200,1529,24
En az 3 yıl tecrübeli adaylar,NaN,Bilgi Teknolojileri / IT,İş Zekası Geliştirme Yöneticisi,İstanbul(Avr.)(Küçükçekmece),ÖZEN ALIŞVERİŞ HİZMETLERİ A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Emin ve Onur'lu adımlarla perakende, tarım, üretim, inşaat alanlarına 5 ilde 4000’i aşkın personeliyle ilerleyen markamızın İstanbul Küçükçekmece’deki Genel Müdürlüğünde, Bilgi Teknolojileri Direktörlüğü bünyesinde  ""İş Zekası Geliştirme Yöneticisi"" pozisyonunda görev alacak takım arkadaşı aramaktayız.
 Şirket politika ve stratejileri doğrultusunda;
·         İş zekâsı ve veri ambarı sistemlerinin mimarisini yönetmek ve gerçekleşen değişikliklerin dokümante edilmesini sağlamak,
·         Sorumluğu altındaki iş zekâsı ve veri ambarı raporlama süreçlerini küresel standartlara ve şirket süreç dokümantasyonuna uygun olarak oluşturmak, geliştirilmek ve takip etmek,
·         Şirket içerisinde kullanılan ya da yeni kullanıma alınacak olan tüm uygulama ve sistemlerdeki verilerin iş zekâsı ve veri ambarı raporlama sistemlerine eklenmesini sağlamak,
·         İş Zekâsı araçlarında (SAP BI, SAP Business Objects, PowerBI vb.) rapor oluşturma, düzenleme ve yayınlama gibi yetkileri şirketin risk yönetimi prosedürüne ve departman ihtiyaçlarına uygun olarak yönetmek,
·         İş birimlerinin ihtiyacı olan Rapor ve Dashboard geliştirilmesi için gerekli olan veri setlerinin iş zekâsı ve veri ambarı sistemleri üzerinde hazırlamak ve iş birimlerinin kullanımına sunmak,
·         İş birimlerinden gelen talepler doğrultusunda ETL görevlerini ve sorgularını hazırlamak / yönetmek,
·         Geliştirme ve geliştirmelere ilişkin son kullanıcı dokümanlarını hazırlamak / güncellemek

Aday Nitelikleri
·         Üniversitelerin, 4 yıllık Mühendislik, Matematik, İstatistik veya eşdeğer bölümlerden mezun,
·         İş Zekası, Veri Ambarı / Modelleme / ETL / Raporlama süreçlerinde en az 3 yıl profesyonel iş deneyimine sahip,
·         E-Ticaret, Perakende, Bankacılık, Mobil-E-Ticaret Yazılım Geliştirme alanlarından birisinde en az 2 yıl süre ile iş zekâsı ve veri ambarı raporlama sistemleri geliştirme projelerinde görev almış olmak,
·         Veri Ambarı ve OLAP küplerinin tasarımı, geliştirilmesi ve yönetilmesi konusunda bilgi ve deneyim sahibi,
·         ETL süreçlerinin tasarımı ve geliştirilmesi konusunda bilgi ve deneyim sahibi,
·         MS-SQL diline hâkim, query optimizasyonu konularında bilgi ve deneyim sahibi,
·         İş Zekâsı raporlama araçları (SAP Business Objects, Power BI etc.) ile rapor geliştirilmesi konusunda bilgi sahibi,
·         Mesleki araştırma yapabilecek seviyede İngilizce bilen,
·         Ekip çalışmasına yatkın,
·         Yeni teknolojilere ve gelişmeye açık,
·         Sorumluluk sahibi,
·         Analiz ve araştırma kabiliyeti yüksek,
·         Erkek adaylar için askerlik yapmış ya da muaf.",100-200,1318,60
En az 2 yıl tecrübeli adaylar,NaN,AR-GE,Yazılım Test Uzmanı,İstanbul(Asya)(Çekmeköy),KOÇTAŞ YAPI MARKETLERİ TİC.A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
 ·         Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, İstatistik, Matematik, Fizik ve vb. bölümlerinden mezun
·        Yazılım ve Test metodolojilerine hakim
·        Test planlama ve test senaryosu oluşturma konusunda deneyimli
·        Test Otomasyon araçları hakkında bilgi sahibi
·        Tercihen Ranorex test otomasyon aracını kullanımı konusunda bilgi sahibi
·        Tercihen Java veya .Net ile yazılım geliştirme konusunda deneyimli
·         Tercihen ISTQB veya CSTE ""Yazılım Test Uzmanı"" sertifikalarından birine sahip olan
 Koçtaş, Koç Holding ile ev geliştirme perakendeciliği konusunda Avrupa'nın lider kuruluşu olan Kingfisher/B&Q ortaklığıdır. Dünya standartlarında perakendecilik uygulamalarıyla hızlı büyümeyi hedefleyen Koçtaş, Genel Müdürlük Bilgi Teknolojileri ve AR-GE Direktörüğü'nde görevlendirilmek üzere; 

İş Tanımı:
Yazılım geliştirme projelerindeki kapsam ve analizlere uygun olarak test plan, senaryo ve prosedürlerin    hazırlanması,
·        Fonksiyonel, performans ve regresyon testlerinin yapılması,
·        Test süreçlerinin otomatize edilmesi ve raporlanması,
·        Hata takibi ve raporlama faaliyetlerinin yürütülmesi,
·        Devops süreçlerinin yürütülmesi,
·          
 İşe alım ve istihdamda tek ölçü olarak işe uygunluk vasfı aranır; ayrımcılık yapmadan fırsat eşitliği sağlanır.",500-750,3706,4
2 - 5 yıl tecrübeli adaylar,Yapıldı,Hizmet,B/C Sınıfı İş Sağlığı ve Güvenliği Uzmanı,"Kocaeli(Gebze), İstanbul(Asya)",Gizli Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Ortak Sağlık Güvenlik Birimimizin Marmara ofisinde görevlendirilmek üzere İstanbul Kartal-Gebze lokasyonunda ikamet eden aşağıdaki niteliklere sahip “B veya C Sınıfı İş Sağlığı ve Güvenliği Uzmanı ” arayışımız bulunmaktadır.

- Üniversitelerin İş Sağlığı ve Güvenliği veya Mühendislik bölümlerinden mezun,
- B veya C Sınıfı İş Sağlığı ve Güvenliği Uzmanı sertifikasına sahip,
- En az 1 yıl iş deneyimi bulunan
- Hizmet Sektöründe İş Sağlığı ve Güvenliği Uzmanı olarak kariyer hedefleyen,
- MS Office uygulamalarına hakim, raporlama yapabilecek,
- Planlama, organizasyon ve analitik düşünme yeteneği gelişmiş, ekip çalışmasına yatkın,
- Sürücü belgesi bulunan, aktif olarak araç kullanabilen,
- Seyahat engeli bulunmayan,
- Yoğun çalışma temposu ve esnek çalışma saatlerine uyum sağlayabilecek,
- Yönetmeliklere uygun olarak tam zamanlı görev alabilecek,
İŞ TANIMI
- Tehlikelerin tanımlanması, risk analizleri ve değerlendirmelerinin yapılarak riskleri ortadan kaldırıcı uygulamaların geliştirilmesi ve saha uygulamalarının gerçekleştirilmesi,
- İş Sağlığı ve Güvenliği kapsamındaki eğitim ihtiyaç analizinin yapılması ve eğitimlerin verilmesi,
- Acil durum planlarının hazırlanması, kaza istatistiklerinin oluşturulması,
- İş Sağlığı ve Güvenliği ve Çevre faaliyetlerinin takip edilmesi ve denetimlerle gerekli müdahalelerin yapılması,
- İş Güvenliği ve Çevre uygulamalarının standardının artırılmasına katkıda bulunulması.",750-1000,4658,27
En az 4 yıl tecrübeli adaylar,Yapıldı,İş Çözümleri,Kıdemli LOGO ERP Uygulama Danışmanı,"İstanbul(Avr.), İstanbul(Asya)",İnfobim Bilişim Teknolojileri San. ve Tic. Ltd. Şti.,"GENEL NİTELİKLER VE İŞ TANIMI
Artan iş hacmimiz ve büyüme hedeflerimiz doğrultusunda firmamız bünyesinde ERP projelerini ve süreçlerini yürütecek, kurumsal müşterilerimize yerinde destek ve LOGO ERP proje süreçlerinde görevlendirilecek, Kıdemli ERP Uygulama Danışmanı olarak aşağıdaki özelliklere sahip takım arkadaşları arıyoruz.
• Üniversitelerin mühendislik, bilgisayar programcılığı,matematik,istatistik veya ilgili benzeri bölümlerinden mezun,
• ERP uygulamaları konusunda bilgi sahibi, tercihen Logo j-Platform veya Logo Netsis Enterprise ürün ve modül bilgisi olan,
• ERP proje uyarlama konusunda tecrübe sahibi olan,
• Alanında en az 4 yıl tecrübeli,  ERP proje uyarlama konusunda bilgi sahibi olan,
• İyi derecede SQL sorgulama diline hakim olmak tercih sebebidir.
• Ms Office programlarını etkin bir şekilde kullanabilen,
• Tercihen Java ile uygulama geliştirme alanında bilgisi olan
• Ekip çalışmasına yatkın,
• Öğrenmeye ve kendini geliştirmeye istekli,
• Araştırma ve geliştirme odaklı,
• Planlama ve takip yönü kuvvetli, analitik düşünebilen, sonuç ve çözüm odaklı olan,
• İletişim ve temsil gücü yüksek,
• İkna yeteneği yüksek ve insiyatif alabilen,
• İyi derecede İngilizce bilgisine sahip olan,
• Aktif araç kullanabilen ve seyahat engeli olmayan,
• Erkek adaylar için askerlik hizmetini tamamlamış olan.",0-50,116,2
En az 2 yıl tecrübeli adaylar,NaN,Planlama,Bütçe Planlama ve Yönetim Raporlama Yetkilisi,İstanbul(Avr.),TURKLANDBANK,"GENEL NİTELİKLER VE İŞ TANIMI
Kurumu değerli kılanın çalışanları olduğuna inanan,
Kendi yöneticilerini yetiştirmeyi hedefleyen ve önemli eğitim yatırımları gerçekleştiren,
Butik yapılanma sayesinde verimli iş süreçlerini ve etkin kurum içi iletişimi yakalamış, 
Sosyal etkinlikler ile iş dışında da birbirine bağlı,
Deneyimli, uzmanlaşmış, aynı zamanda dinamik bir ekibin parçası olmak istiyorsanız,
Bize katılın!

T-Bank olarak biz; Türkiye’nin ticaret ve sanayi açısından öncü bölgelerindeki şubelerimizde, hissedarlarımız Arab Bank ve BankMed’in 90 yıla yaklaşan Bankacılık deneyiminin desteği ve kurumsal&ticari bankacılık ve perakende bankacılık iş kollarında uzmanlaşmış çalışanlarımız ile müşterilerimizin ihtiyaçlarına zamanında ve özel çözümler üretiyoruz.

Şişli'de bulunan Genel Müdürlüğümüzde, Bütçe Planlama ve Yönetim Raporlama Bölümü’nde görev alacak çalışma arkadaşımızı arıyoruz.

Aranılan Yetkinlikler :         
Üniversitelerin 4 yıllık İşletme, İktisat, İstatistik, Ekonometri, Matematik veya Mühendislik bölümlerinden mezun olmak,
Yetkili ünvanı için minimum 2 yıl, Yönetmen Yardımcısı ünvanı için minimum 3 yıl bankaların Bütçe Planlama, Finansal Raporlama ve/veya Mali Kontrol konularında deneyime sahip olmak,
MS Office uygulamalarına hakim olmak,
İyi derecede İngilizce bilmek,
Analitik düşünebilme ve problem çözme odaklı çalışabilmek,
Takım çalışmasına yatkınlık.


İŞ TANIMI
Finansal Raporların, Günlük MIS Bilanço & Kar/Zarar Raporlarının hazırlanması ve kontrolü,
Haftalık Aktif / Pasif Komitesi toplantıları için belirlenen formattaki raporların hazırlanması ve kontrolü,
Aylık performans analizi raporlarının hazırlanması, şubelerin analiz edilmesi ve raporların kontrolü,
Aylık yönetim raporlarının ve sunumlarının hazırlanması ve kontrolü,
Yabancı ortaklar nedeni ile dahil olunan grubun talep ettiği bilgilendirme amaçlı raporların hazırlaması ve kontrolü,
Yönetim Kurulu için finansal veri ve raporların hazırlanması,
Yıllık Bütçenin hazırlanması,
Finansal Projeksiyon ve dönemlik tahminlerin oluşturulması, 
Bütçe/Tahmin ve gerçekleşen karşılaştırmalarının yapılması, analiz edilmesi ve raporlanması.",300-500,2270,34
